"Value","measuredItemChildCPC","measuredItemParentCPC","geographicAreaM49","measuredShare","timePointYearsSP"
0,"F0623","01316","0","1","0"
0,"F0623","01311","0","1","0"
1,"21433","01318","0","1","0"
1,"21491","01318","0","1","0"
1,"21433","01318","0","1","0"
1,"21491","01318","0","1","0"
0,"21491","01318","0","1","0"
0,"21433.01","01318","0","1","0"
0,"21491","01318","0","1","0"
0,"21433.01","01318","0","1","0"
0,"21433","01318","0","1","0"
1,"21433.01","01318","0","1","0"
0,"21439.9","01318","0","1","0"
0,"F0623","01318","0","1","0"
0,"21419.90","01314","0","1","0"
0,"21419.05","01314","0","1","0"
0,"F0623","01314","0","1","0"
0,"2413","01314","0","1","0"
0,"F0623","01359.02","0","1","0"
0,"24230.03","01319","0","1","0"
1,"21419.90","01319","0","1","0"
0,"21419.05","01319","0","1","0"
0,"21439.9","01319","0","1","0"
0,"F0623","01319","0","1","0"
0,"23170.04","01319","0","1","0"
0,"24110","01319","0","1","0"
0,"2413","01319","0","1","0"
0,"24230.03","01359.90","0","1","0"
1,"21419.05","01359.90","0","1","0"
1,"21439.9","01359.90","0","1","0"
1,"F0623","01359.90","0","1","0"
1,"23170.04","01359.90","0","1","0"
0,"24110","01359.90","0","1","0"
0,"2413","01359.90","0","1","0"
0,"2413","21439.9","0","1","0"
0,"2413","24110","0","1","0"
0,"2413",NA,"0","1","0"
1,"23911","01610","0","1","0"
0,"23912.01","01610","0","1","0"
1,"23912.02","01610","0","1","0"
1,"23610.01","01640","0","1","0"
1,"39150.02","01640","0","1","0"
1,"23610.01","01640","0","1","0"
1,"39150.02","01640","0","1","0"
1,"F0665","23610.01","0","1","0"
1,"23620","23610.01","0","1","0"
1,"F0665","23610.01","0","1","0"
1,"23620","23610.01","0","1","0"
0,"F0666","23620","0","1","0"
1,"F0666","F0665","0","1","0"
1,"01930.03","01930.02","0","1","0"
1,"23999.04","01930.02","0","1","0"
1,"01930.03","01930.02","0","1","0"
1,"23999.04","01930.02","0","1","0"
1,"25020.01","01970","0","1","0"
1,"25020.02","01970","0","1","0"
1,"25090","01970","0","1","0"
1,"01950.02","01950.01","0","1","0"
1,"21512.01","21111.01","0","1","0"
1,"21111.02","21111.01","0","1","0"
1,"21512.01","21111.01","0","1","0"
1,"21111.02","21111.01","0","1","0"
1,"21182","21111.01","0","1","0"
1,"21185","21111.01","0","1","0"
1,"21184.01","21111.01","0","1","0"
1,"F0875","21111.01","0","1","0"
1,NA,"21111.01","0","1","0"
1,"23991.04","21111.01","0","1","0"
0,"F1172","21111.01","0","1","0"
1,"21189.04","21151","0","1","0"
0,"21183","21151","0","1","0"
1,"21529.03","21512","0","1","0"
1,"21523","21512","0","1","0"
1,"F1243","21512","0","1","0"
1,"21182","21111.02","0","1","0"
1,"21184.01","21111.02","0","1","0"
1,"F0875","21111.02","0","1","0"
0,"21529.03","21512.01","0","1","0"
0,"21523","21512.01","0","1","0"
0,"F1243","21512.01","0","1","0"
1,"22120","02211","0","1","0"
1,"22110.02","02211","0","1","0"
1,"22120","02211","0","1","0"
1,"22110.02","02211","0","1","0"
1,"22110.02","02211","0","1","0"
1,"22241.01","02211","0","1","0"
1,"22110.02","02211","0","1","0"
1,"22241.01","02211","0","1","0"
1,"22110.02","02211","0","1","0"
1,"22241.02","02211","0","1","0"
1,"22110.02","02211","0","1","0"
1,"22241.02","02211","0","1","0"
1,"22222.01","02211","0","1","0"
1,"22230.01","02211","0","1","0"
0,"22230.02","02211","0","1","0"
1,"22230.03","02211","0","1","0"
1,"22241.01","02211","0","1","0"
1,"22230.03","02211","0","1","0"
1,"22241.01","02211","0","1","0"
1,"22221.01","02211","0","1","0"
1,"22211","02211","0","1","0"
